id_client,Category,Price,Card Type,First_name,Gender,Job_Title,state_name
37,Electronics,72.93,mastercard,Cornie,Genderqueer,Editor,ND
38,Jewelry,121.89,mastercard,Rab,Male,Assistant Manager,PA
39,Baby,64.3,mastercard,Codie,Female,Financial Analyst,MA
40,Outdoors,9.48,mastercard,Scott,Female,Civil Engineer,OR
5,Outdoors,61.95,mastercard,Tanney,Female,VP Marketing,MN
6,Outdoors,15.96,mastercard,Launce,Male,Automation Specialist I,VA
7,Beauty,149.02,mastercard,Adham,Male,Project Manager,CO
8,Games,97.38,mastercard,Dante,Male,Geological Engineer,TX
9,Outdoors,139.96,mastercard,Hi,Female,Senior Cost Accountant,PA
10,Shoes,55.45,mastercard,Carmine,Female,Statistician II,CA
11,Jewelry,96.16,mastercard,Waring,Female,Software Consultant,NC
12,Computers,104.93,mastercard,Cori,Female,Senior Sales Associate,CA
13,Baby,92.52,mastercard,Rodge,Genderfluid,Health Coach III,TX
14,Grocery,108.42,mastercard,Nikolos,Male,Geologist III,TX
15,Shoes,144.17,mastercard,Guy,Female,Senior Cost Accountant,DC
16,Computers,5.45,mastercard,Anton,Male,Media Manager II,TX
17,Sports,5.12,mastercard,Willem,Female,Media Manager II,VA
18,Games,29.3,mastercard,Timothy,Female,Marketing Manager,OH
19,Toys,9.34,mastercard,Sheridan,Male,Assistant Manager,MD
20,Music,94.53,mastercard,Kalil,Genderfluid,Senior Editor,LA
21,Computers,16.72,mastercard,Augusto,Female,Research Nurse,LA
22,Tools,32.56,mastercard,Duffie,Female,Information Systems Manager,LA
23,Beauty,6.84,mastercard,Clyde,Female,Dental Hygienist,FL
24,Grocery,10.44,mastercard,Harcourt,Female,Web Designer III,GA
25,Clothing,85.65,mastercard,Elwyn,Male,Senior Developer,LA
26,Industrial,133.3,mastercard,Desmund,Female,Senior Sales Associate,LA
27,Baby,69.98,mastercard,Emelen,Male,Project Manager,TX
28,Jewelry,48.58,mastercard,Mattheus,Female,Pharmacist,MI
29,Home,142.53,mastercard,Jonas,Male,Cost Accountant,MI
30,Industrial,99.03,mastercard,Moishe,Female,Human Resources Assistant III,OH
31,Toys,87.62,mastercard,Reinwald,Male,Sales Representative,NE
32,Home,141.11,mastercard,Tobin,Male,Food Chemist,CA
33,Books,68.77,mastercard,Bo,Male,VP Product Management,FL
34,Home,15.12,mastercard,Sherm,Male,Senior Financial Analyst,WA
35,Movies,96.45,mastercard,Mile,Male,Occupational Therapist,VA
36,Health,123.38,mastercard,Turner,Male,Automation Specialist IV,TX
37,Home,58.77,mastercard,Cornie,Genderqueer,Editor,ND
38,Clothing,117.56,mastercard,Rab,Male,Assistant Manager,PA
39,Clothing,134.15,mastercard,Codie,Female,Financial Analyst,MA
40,Jewelry,53.63,mastercard,Scott,Female,Civil Engineer,OR
41,Books,82.78,mastercard,Hilary,Male,Design Engineer,MS
42,Movies,132.11,mastercard,Keir,Female,Senior Editor,CA
43,Computers,59.74,mastercard,Raffarty,Male,General Manager,TX
44,Automotive,105.26,mastercard,Federico,Non-binary,Nurse Practicioner,CA
45,Shoes,53.56,mastercard,Karlan,Female,Financial Advisor,FL
46,Tools,136.53,mastercard,Demetris,Female,Programmer Analyst IV,PA
47,Industrial,106.66,mastercard,Lisle,Female,Web Designer I,AZ
48,Health,93.46,mastercard,Rabi,Genderfluid,Director of Sales,MS
49,Books,147.63,mastercard,Jareb,Male,Sales Associate,NY
50,Kids,145.58,mastercard,Sergent,Male,Geologist II,NV
51,Shoes,81.44,mastercard,Reinaldo,Female,Editor,NY
52,Health,64.7,mastercard,Zebadiah,Female,Desktop Support Technician,OR
53,Beauty,60.66,mastercard,Shurlock,Polygender,Junior Executive,DC
54,Industrial,9.11,mastercard,Chip,Agender,Recruiting Manager,WV
55,Industrial,100.62,mastercard,Alford,Female,Human Resources Assistant I,TX
56,Books,132.4,mastercard,Marius,Male,Senior Cost Accountant,MO
57,Kids,60.75,mastercard,Marmaduke,Non-binary,Sales Associate,MA
58,Toys,10.73,mastercard,Emlyn,Female,Business Systems Development Analyst,NV
59,Music,90.98,mastercard,Frederich,Female,Health Coach II,NY
60,Movies,95.97,mastercard,Davidde,Male,VP Marketing,CA
61,Kids,54.04,mastercard,Angus,Female,Senior Sales Associate,CA
62,Grocery,97.0,mastercard,Cchaddie,Male,Business Systems Development Analyst,CA
63,Beauty,45.49,mastercard,Fons,Female,Senior Developer,AR
64,Health,99.37,mastercard,Lucio,Female,Web Developer IV,SD
65,Games,26.75,mastercard,Wolf,Male,Recruiting Manager,CA
66,Shoes,85.94,mastercard,Lazare,Male,Associate Professor,LA
67,Jewelry,17.25,mastercard,Cornelius,Male,Recruiting Manager,KY
68,Games,49.82,mastercard,Matteo,Bigender,Social Worker,OR
69,Toys,88.43,mastercard,Domingo,Female,Recruiter,CA
70,Tools,23.53,mastercard,Bordie,Male,Sales Associate,PA
71,Kids,55.81,mastercard,Neil,Female,Geologist IV,CA
72,Computers,96.65,mastercard,Allistir,Female,Chief Design Engineer,TX
73,Outdoors,64.76,mastercard,Rafe,Genderfluid,Senior Editor,DC
74,Shoes,61.25,mastercard,Galvan,Male,Teacher,NE
75,Movies,141.32,mastercard,Dionysus,Female,Legal Assistant,LA
76,Shoes,98.09,mastercard,Raul,Male,Speech Pathologist,TX
77,Home,95.54,mastercard,Codie,Female,Media Manager I,CT
78,Health,53.12,mastercard,Zeke,Female,Research Associate,DC
79,Computers,64.61,mastercard,Siegfried,Female,VP Product Management,FL
1,Outdoors,16.97,mastercard,Domingo,Male,Structural Analysis Engineer,TX
2,Grocery,143.39,mastercard,Russell,Male,Speech Pathologist,MI
3,Music,37.64,mastercard,Kimble,Male,Account Coordinator,AL
4,Jewelry,8.51,mastercard,Barnabas,Male,General Manager,IL
5,Grocery,28.42,mastercard,Tanney,Female,VP Marketing,MN
85,Kids,139.38,mastercard,Kennan,Female,Project Manager,DC
86,Shoes,123.66,mastercard,Gilburt,Female,Community Outreach Specialist,FL
87,Books,66.68,mastercard,Ruttger,Male,Chief Design Engineer,ID
88,Tools,23.51,mastercard,Fransisco,Female,Design Engineer,CA
89,Baby,81.13,mastercard,Reade,Female,General Manager,TX
90,Clothing,66.53,mastercard,Weylin,Male,Engineer I,FL
91,Music,86.24,mastercard,Riobard,Male,Technical Writer,FL
92,Industrial,45.48,mastercard,Ambrosi,Male,Analyst Programmer,IN
93,Outdoors,79.53,mastercard,Norris,Genderqueer,Business Systems Development Analyst,VA
94,Health,92.86,mastercard,Lorens,Female,Staff Accountant IV,CA
95,Electronics,125.29,mastercard,Denis,Female,VP Product Management,IL
96,Baby,18.69,mastercard,Rhett,Female,Biostatistician IV,OH
97,Movies,136.95,mastercard,Hamlin,Male,Media Manager I,AL
98,Games,114.69,mastercard,Sebastien,Male,Media Manager III,PA
99,Clothing,104.06,mastercard,Dewey,Female,Executive Secretary,CA
100,Games,146.54,mastercard,Renault,Agender,Biostatistician IV,AL
101,Sports,148.59,mastercard,Blayne,Female,Software Engineer IV,CA
102,Games,25.12,mastercard,Mendy,Male,Web Designer III,NY
103,Kids,33.69,mastercard,Finley,Male,Associate Professor,NY
104,Electronics,25.48,mastercard,Tynan,Male,VP Sales,MN
105,Outdoors,45.72,mastercard,Christoph,Female,Quality Control Specialist,TX
106,Outdoors,97.85,mastercard,Vassili,Male,Chemical Engineer,IN
107,Tools,11.64,mastercard,Titos,Male,Nuclear Power Engineer,WA
108,Music,39.52,mastercard,Turner,Female,Developer IV,NC
109,Garden,128.48,mastercard,Kyle,Male,Actuary,OH
110,Computers,54.2,mastercard,Yehudi,Genderfluid,Project Manager,TX
111,Beauty,3.45,mastercard,Adams,Female,Clinical Specialist,VA
112,Jewelry,99.85,mastercard,Ingemar,Genderqueer,Account Coordinator,TX
113,Music,65.25,mastercard,Bartolomeo,Male,Executive Secretary,DC
114,Movies,12.17,mastercard,Lennard,Female,Administrative Assistant II,IN
115,Tools,32.57,mastercard,Ralf,Female,Senior Quality Engineer,AZ
116,Industrial,42.22,mastercard,Marten,Non-binary,Web Developer IV,CA
117,Beauty,125.24,mastercard,Portie,Female,Teacher,GA
118,Beauty,70.14,mastercard,Jacob,Male,Teacher,IL
119,Baby,134.09,mastercard,Joaquin,Male,Product Engineer,NC
120,Health,67.75,mastercard,Dougy,Male,Computer Systems Analyst IV,NY
121,Industrial,105.17,mastercard,Bartel,Female,Actuary,OH
122,Home,99.16,mastercard,Inigo,Female,Programmer Analyst II,KS
123,Beauty,96.87,mastercard,Ross,Male,Analog Circuit Design manager,VA
124,Toys,29.08,mastercard,Saul,Female,VP Marketing,DC
125,Movies,148.07,mastercard,Bary,Female,Technical Writer,CA
126,Kids,0.51,mastercard,Anatol,Male,Sales Representative,NJ
127,Industrial,63.15,mastercard,Gaspard,Male,Automation Specialist I,MI
128,Music,137.43,mastercard,Kirk,Male,Nuclear Power Engineer,NY
129,Electronics,100.18,mastercard,Jamill,Female,Cost Accountant,LA
112,Kids,9.12,mastercard,Ingemar,Genderqueer,Account Coordinator,TX
113,Electronics,8.23,mastercard,Bartolomeo,Male,Executive Secretary,DC
114,Home,19.31,mastercard,Lennard,Female,Administrative Assistant II,IN
115,Automotive,130.2,mastercard,Ralf,Female,Senior Quality Engineer,AZ
